name,price,description,image_urls
Silver Mini Hoop Earrings Set of 4,550,Elevate your everyday look with these silvertoned hoop earrings With a spiked tribal shape it comes in a set of four to take you from morning to night   Style Tip Pair these hoops with an easybreezy kurta and kohlapuris  Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size colour and Shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique  ,"https://img.faballey.com/images/Product/ZEA00333/d3.jpg,https://img.faballey.com/images/Product/ZEA00333/d4.jpg,https://img.faballey.com/images/Product/ZEA00333/d5.jpg"
Gold Dark Blue Kundan Meena Dangler Earrings,925,Thoughtfully designed with a mix of delicate filigree enchanting meena work and the playfulness of white beads this pair of dangler earrings is a statement in itself It features gold plating dark blue enamel work and tiers of white beads   Style Tip Pull your hair black in a soft bun to flaunt these beauties  Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size colour and Shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique  ,"https://img.faballey.com/images/Product/ZEA00350/d3.jpg,https://img.faballey.com/images/Product/ZEA00350/d4.jpg,https://img.faballey.com/images/Product/ZEA00350/d5.jpg,https://img.faballey.com/images/Product/ZEA00350/d6.jpg"
Gold Green Druzy Jhumki Earrings,600,Equal parts classic and current this pair of goldplated green druzy earrings will transform any outfit into a showstopping look It features a green druzy stone at the top with small white bead drops   Style Tip Pair the earrings with a sideswept hairdo,"https://img.faballey.com/images/Product/ZEA00361/d3.jpg,https://img.faballey.com/images/Product/ZEA00361/d4.jpg,https://img.faballey.com/images/Product/ZEA00361/d5.jpg,https://img.faballey.com/images/Product/ZEA00361/d6.jpg"
Silver Drop Hoop Earrings Set of 3,475,Give your everyday look a fashionable update with these tribal inspired hoops Delicately detailed and minimal these come in a set of three   Style Tip Pair the hoops with a white chikankari kurta and a bindi  Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size colour and Shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique  ,"https://img.faballey.com/images/Product/ZEA00340/d3.jpg,https://img.faballey.com/images/Product/ZEA00340/d4.jpg,https://img.faballey.com/images/Product/ZEA00340/d5.jpg"
Gold Interlinked Rings Dangler Earrings,450,Type Dangler  Color Golden  Composition Brass  Closure Push Back  Length  55 Mm,"https://img.faballey.com/images/Product/ZEA00401/d3.jpg,https://img.faballey.com/images/Product/ZEA00401/d4.jpg,https://img.faballey.com/images/Product/ZEA00401/d5.jpg,https://img.faballey.com/images/Product/ZEA00401/d6.jpg"
Silver Cone Metallic Tassel Oxidised Dangler Earrings,250,Type Danglers  Color Oxidised Silver Composition Brass  Feature  Tassel Detail Closure Ear wire,"https://img.faballey.com/images/Product/ZEA00182/d3.jpg,https://img.faballey.com/images/Product/ZEA00182/d4.jpg,https://img.faballey.com/images/Product/ZEA00182/d5.jpg,https://img.faballey.com/images/Product/ZEA00182/d7.jpg"
Rose Gold Plated Crystal Necklace Set,2450,Give your festive look a magnificent feel with this rose gold plated necklace set Crafted in a square shape and encrusted with CZ diamonds this necklace set is one of a kind piece to have and cherish   Style Tip Pair the necklace set with a cocktail sari and complete the look with subtle makeup   Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size color and shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique,"https://img.faballey.com/images/Product/ZNS00064/d3.jpg,https://img.faballey.com/images/Product/ZNS00064/d4.jpg,https://img.faballey.com/images/Product/ZNS00064/d5.jpg,https://img.faballey.com/images/Product/ZNS00064/d6.jpg"
Gold D-Shaped Pearl Closure Hoop Earrings,550,Type Hoops  Color Golden  Composition Brass  Length  50 Mm,"https://img.faballey.com/images/Product/ZEA00400/d3.jpg,https://img.faballey.com/images/Product/ZEA00400/d4.jpg,https://img.faballey.com/images/Product/ZEA00400/d5.jpg,https://img.faballey.com/images/Product/ZEA00400/d6.jpg"
Silver Drop Circle Stud Earrings,650,Type Studs  Color Silver Composition Alloy  Feature  Textured Detail Closure Push Back,"https://img.faballey.com/images/Product/ZEA00265/d3.jpg,https://img.faballey.com/images/Product/ZEA00265/d4.jpg,https://img.faballey.com/images/Product/ZEA00265/d5.jpg,https://img.faballey.com/images/Product/ZEA00265/d6.jpg"
Gold Pearl Drop Circular Dangler Earring,475,The perfect mix of minimally festive and everyday efficient these goldplated ovalshaped danglers are a musthave piece to own in your jewelry collection Dainty and delightful it features ovalshaped pearl drops  Style Tip Pair the earrings with a white chikankari kurta   Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size color and shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique,"https://img.faballey.com/images/Product/ZEA00396/d3.jpg,https://img.faballey.com/images/Product/ZEA00396/d4.jpg,https://img.faballey.com/images/Product/ZEA00396/d5.jpg,https://img.faballey.com/images/Product/ZEA00396/d6.jpg"
